Year,IncidentLocation,Origin,Dead,Survived,Cause
2014,North America,Guatemala,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Mexico,1,0,Violence
2014,Europe,Sudan,1,2,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,North America,Unknown,1,0,Violence
2014,Mediterranean,"Afghanistan,Syrian Arab Republic",12,0,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Mexico,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Europe,Iran (Islamic Republic of),1,2,Vehicle accident / death linked to hazardous transport
2014,Caribbean,Haiti,1,0,Drowning
2014,South-eastern Asia,Myanmar,5,500,Sickness / lack of access to adequate healthcare
2014,Mediterranean,"Cameroon,Unknown",15,0,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,Somalia,2,121,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Mexico,1,2,Violence
2014,Caribbean,Haiti,8,0,Drowning
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Southern Asia,Bangladesh,1,0,Violence
2014,Eastern Africa,Ethiopia,11,0,Drowning
2014,Mediterranean,Somalia,7,0,Violence
2014,North America,Guatemala,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Europe,Albania,1,0,Violence
2014,South-eastern Asia,Cambodia,5,4,Vehicle accident / death linked to hazardous transport
2014,South-eastern Asia,Myanmar,2,10,Vehicle accident / death linked to hazardous transport
2014,Central America,Ecuador,1,0,Violence
2014,Eastern Africa,"Ethiopia,Somalia",1,33,Drowning
